순번,기준년,기준월,행정동코드,행정동명,성별코드,성별,요일코드,요일,시간대코드,시간대,유동인구수,시간당 평균 유동인구수,데이터생성일자
92,2021,1,3017052000,도마1동,m,남성,2,화요일,1,출근,15245.39,7622.7,20230104
93,2021,1,3017052000,도마1동,f,여성,2,화요일,2,주간,103802.71,11533.63,20230104
94,2021,1,3017052000,도마1동,m,남성,2,화요일,2,주간,111217.25,12357.47,20230104
95,2021,1,3017052000,도마1동,f,여성,2,화요일,3,퇴근,25434.92,12717.46,20230104
96,2021,1,3017052000,도마1동,m,남성,2,화요일,3,퇴근,27601.4,13800.7,20230104
97,2021,1,3017052000,도마1동,f,여성,2,화요일,4,저녁,48632.07,12158.02,20230104
98,2021,1,3017052000,도마1동,m,남성,2,화요일,4,저녁,52300.51,13075.13,20230104
99,2021,1,3017052000,도마1동,f,여성,2,화요일,5,야간,22196.89,3170.99,20230104
100,2021,1,3017052000,도마1동,m,남성,2,화요일,5,야간,26752.34,3821.76,20230104
101,2021,1,3017052000,도마1동,f,여성,3,수요일,1,출근,12470.54,6235.27,20230104
102,2021,1,3017052000,도마1동,m,남성,3,수요일,1,출근,15529.36,7764.68,20230104
103,2021,1,3017052000,도마1동,f,여성,3,수요일,2,주간,104705.12,11633.9,20230104
104,2021,1,3017052000,도마1동,m,남성,3,수요일,2,주간,111809.11,12423.23,20230104
105,2021,1,3017052000,도마1동,f,여성,3,수요일,3,퇴근,25419,12709.5,20230104
106,2021,1,3017052000,도마1동,m,남성,3,수요일,3,퇴근,27432.72,13716.36,20230104
107,2021,1,3017052000,도마1동,f,여성,3,수요일,4,저녁,49100.91,12275.23,20230104
108,2021,1,3017052000,도마1동,m,남성,3,수요일,4,저녁,52178.94,13044.74,20230104
109,2021,1,3017052000,도마1동,f,여성,3,수요일,5,야간,22402.58,3200.37,20230104
110,2021,1,3017052000,도마1동,m,남성,3,수요일,5,야간,26926.29,3846.61,20230104
111,2021,1,3017052000,도마1동,f,여성,4,목요일,1,출근,12495.11,6247.56,20230104
112,2021,1,3017052000,도마1동,m,남성,4,목요일,1,출근,15173.8,7586.9,20230104
113,2021,1,3017052000,도마1동,f,여성,4,목요일,2,주간,101146.75,11238.53,20230104
114,2021,1,3017052000,도마1동,m,남성,4,목요일,2,주간,109244.84,12138.32,20230104
115,2021,1,3017052000,도마1동,f,여성,4,목요일,3,퇴근,24711.08,12355.54,20230104
116,2021,1,3017052000,도마1동,m,남성,4,목요일,3,퇴근,26955.62,13477.81,20230104
117,2021,1,3017052000,도마1동,f,여성,4,목요일,4,저녁,48235.32,12058.83,20230104
118,2021,1,3017052000,도마1동,m,남성,4,목요일,4,저녁,51438.42,12859.61,20230104
119,2021,1,3017052000,도마1동,f,여성,4,목요일,5,야간,21777.03,3111.01,20230104
