순번,기준년,기준월,행정동코드,행정동명,성별코드,성별,연령대코드,연령대,유동인구수,시간당 평균 유동인구수,데이터생성일자
3928,2021,09월,3017054000,변동,m,남성,40,40대,268099.8,59708,2022-11-15
3929,2021,03월,3017065000,만년동,m,남성,20,20대,360671.03,78312.87,2022-11-15
3930,2021,10월,3017063000,둔산1동,f,여성,30,30대,419225.83,84093.66,2022-11-15
3931,2021,08월,3017053500,정림동,m,남성,60,60대,235593.25,52917.63,2022-11-15
3932,2021,12월,3017059700,관저2동,m,남성,30,30대,917584.18,209806.92,2022-11-15
3933,2021,01월,3017057500,내동,f,여성,30,30대,205836.19,46261.91,2022-11-15
3934,2021,09월,3017055000,용문동,f,여성,0,9세이하,8540.49,1976.14,2022-11-15
3935,2021,08월,3017060000,기성동,m,남성,40,40대,50123.68,9605.51,2022-11-15
3936,2021,09월,3017058800,월평3동,f,여성,0,9세이하,17789.59,3871.14,2022-11-15
3937,2021,03월,3017058100,갈마1동,f,여성,60,60대,295383.6,65573.29,2022-11-15
3938,2021,05월,3017065000,만년동,m,남성,70,70세이상,67372.2,14289.22,2022-11-15
3939,2021,01월,3017064000,둔산2동,f,여성,30,30대,1197114.32,242088.23,2022-11-15
3940,2021,12월,3017057000,가장동,f,여성,50,50대,233485.53,51964.32,2022-11-15
3941,2021,09월,3017063000,둔산1동,m,남성,40,40대,544766.47,116087.56,2022-11-15
3942,2021,05월,3017059700,관저2동,m,남성,60,60대,542824.36,121802.64,2022-11-15
3943,2021,09월,3017055500,탄방동,m,남성,50,50대,939018.07,207402.87,2022-11-15
3944,2021,04월,3017058100,갈마1동,m,남성,0,9세이하,23368.7,4975.99,2022-11-15
3945,2021,07월,3017051000,복수동,f,여성,20,20대,294413.52,65016.51,2022-11-15
3946,2021,10월,3017060000,기성동,m,남성,20,20대,41655.78,8313.76,2022-11-15
3947,2021,05월,3017066000,둔산3동,f,여성,30,30대,185726.69,42358.67,2022-11-15
3948,2021,03월,3017059600,관저1동,m,남성,0,9세이하,60965.21,13201.41,2022-11-15
3949,2021,06월,3017059000,가수원동,f,여성,70,70세이상,169919.75,37243.82,2022-11-15
3950,2021,07월,3017060000,기성동,m,남성,10,10대,4067.2,794.37,2022-11-15
3951,2021,04월,3017054000,변동,m,남성,70,70세이상,147613.78,32951.27,2022-11-15
3952,2021,03월,3017058100,갈마1동,f,여성,30,30대,349740.01,77525.76,2022-11-15
3953,2021,01월,3017057000,가장동,f,여성,0,9세이하,18063.49,3812.6,2022-11-15
3954,2021,04월,3017056000,괴정동,m,남성,50,50대,422982.65,93919.16,2022-11-15
3955,2021,03월,3017065000,만년동,f,여성,40,40대,292960.28,63258.47,2022-11-15
3956,2021,02월,3017052000,도마1동,f,여성,50,50대,316361.84,66865.12,2022-11-15
3957,2021,09월,3017053500,정림동,m,남성,60,60대,224030.68,50437.52,2022-11-15
3958,2021,09월,3017057000,가장동,f,여성,0,9세이하,19433.35,4130.63,2022-11-15
3959,2021,10월,3017058100,갈마1동,m,남성,60,60대,292908.55,66471.57,2022-11-15
3960,2021,05월,3017053500,정림동,m,남성,20,20대,172590.69,38190.94,2022-11-15
3961,2021,02월,3017053000,도마2동,f,여성,50,50대,292236.27,63980.23,2022-11-15
3962,2021,05월,3017058200,갈마2동,f,여성,70,70세이상,107320.29,23447.61,2022-11-15
3963,2021,08월,3017057000,가장동,m,남성,40,40대,198307.46,44378.01,2022-11-15
3964,2021,04월,3017057000,가장동,m,남성,30,30대,158182.56,34963.18,2022-11-15
3965,2021,02월,3017058700,월평2동,m,남성,30,30대,261946.88,58463.04,2022-11-15
3966,2021,02월,3017057000,가장동,m,남성,50,50대,176688.16,39640.34,2022-11-15
3967,2021,06월,3017058200,갈마2동,m,남성,10,10대,107381.23,23660.11,2022-11-15
