사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021011500100609,2021년 1월 15일 22시,금요일,대전광역시 서구 괴정동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,29세,상해없음,승용,남,51세,경상
2021011600100059,2021년 1월 16일 08시,토요일,대전광역시 서구 괴정동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,59세,상해없음,승용,남,27세,경상
2021011600100072,2021년 1월 16일 09시,토요일,대전광역시 서구 탄방동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,57세,경상,화물,남,50세,경상
2021011600100135,2021년 1월 16일 12시,토요일,대전광역시 서구 갈마동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,21세,상해없음,이륜,남,37세,경상
2021011600100136,2021년 1월 16일 12시,토요일,대전광역시 서구 둔산동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,27세,상해없음,승용,남,60세,중상
2021011600100201,2021년 1월 16일 14시,토요일,대전광역시 서구 둔산동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,24세,상해없음,승용,남,34세,경상
2021011600100237,2021년 1월 16일 15시,토요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,64세,상해없음,승용,남,46세,경상
2021011600100447,2021년 1월 16일 21시,토요일,대전광역시 서구 갈마동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,71세,상해없음,보행자,남,24세,경상
2021011700100009,2021년 1월 17일 00시,일요일,대전광역시 서구 월평동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,47세,상해없음,보행자,남,60세,중상
2021011800100043,2021년 1월 18일 07시,월요일,대전광역시 서구 갈마동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,여,20세,상해없음,승용,여,38세,경상
