사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021030500100394,2021년 3월 5일 17시,금요일,충청남도 천안시 서북구 직산읍,경상사고,0,0,1,0,차대차 - 기타,차로위반,포장 - 건조,맑음,단일로 - 기타,승용,남,54세,상해없음,승용,남,27세,경상
2021030500100483,2021년 3월 5일 19시,금요일,충청남도 천안시 서북구 직산읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,23세,상해없음,승용,남,57세,중상
2021030600100141,2021년 3월 6일 11시,토요일,충청남도 천안시 서북구 성정동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,28세,상해없음,승용,남,31세,경상
2021030600100270,2021년 3월 6일 15시,토요일,충청남도 천안시 동남구 영성동,경상사고,0,0,4,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,56세,상해없음,승용,남,51세,경상
2021030600100357,2021년 3월 6일 18시,토요일,충청남도 천안시 서북구 성정동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,여,61세,부상신고,승용,남,47세,상해없음
2021030600100398,2021년 3월 6일 19시,토요일,충청남도 천안시 서북구 성정동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,61세,상해없음,승용,여,63세,경상
2021030600100444,2021년 3월 6일 21시,토요일,충청남도 천안시 서북구 쌍용동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,31세,상해없음,보행자,남,64세,경상
2021030600100445,2021년 3월 6일 21시,토요일,충청남도 천안시 서북구 불당동,경상사고,0,0,1,0,차대차 - 기타,기타,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,64세,상해없음,이륜,남,29세,경상
2021030600100468,2021년 3월 6일 22시,토요일,충청남도 천안시 동남구 원성동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,18세,상해없음,승용,남,41세,중상
2021030700100006,2021년 3월 7일 00시,일요일,충청남도 천안시 서북구 두정동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,25세,중상,승용,남,52세,상해없음
2021030700100017,2021년 3월 7일 02시,일요일,충청남도 천안시 서북구 백석동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,33세,상해없음,승용,남,21세,경상
2021030700100035,2021년 3월 7일 06시,일요일,충청남도 천안시 서북구 성정동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,31세,상해없음,승용,남,52세,경상
2021030700100046,2021년 3월 7일 08시,일요일,충청남도 천안시 서북구 성정동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,27세,상해없음,승용,남,65세,경상
2021030700100130,2021년 3월 7일 13시,일요일,충청남도 천안시 서북구 백석동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,30세,상해없음,승용,여,46세,경상
2021030700100190,2021년 3월 7일 15시,일요일,충청남도 천안시 동남구 신부동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,56세,경상,승용,여,22세,경상
2021030700100272,2021년 3월 7일 18시,일요일,충청남도 천안시 동남구 수신면,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,25세,상해없음,승용,여,47세,경상
2021030700100384,2021년 3월 7일 23시,일요일,충청남도 천안시 서북구 신당동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,29세,상해없음,승용,남,44세,경상
