사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6468074,2018074,30200139,30200002,대전광역시 유성구2,대전광역시 유성구 반석동(외삼네거리 인근),33,63,1,5,55,2,127.3118375,36.39588581,"{""type"":""Polygon"",""coordinates"":[[[127.31318495,36.39588581],[127.31315906,36.39567421],[127.31308238,36.39547074],[127.31295786,36.39528322],[127.31279029,36.39511885],[127.3125861,36.39498397],[127.31235314,36.39488373],[127.31210036,36.39482201],[127.31183748,36.39480117],[127.3115746,36.39482201],[127.31132183,36.39488373],[127.31108887,36.39498397],[127.31088467,36.39511885],[127.3107171,36.39528322],[127.31059258,36.39547074],[127.3105159,36.39567421],[127.31049001,36.39588581],[127.3105159,36.39609741],[127.31059258,36.39630088],[127.3107171,36.39648839],[127.31088467,36.39665275],[127.31108887,36.39678764],[127.31132183,36.39688787],[127.3115746,36.39694959],[127.31183748,36.39697043],[127.31210036,36.39694959],[127.31235314,36.39688787],[127.3125861,36.39678764],[127.31279029,36.39665275],[127.31295786,36.39648839],[127.31308238,36.39630088],[127.31315906,36.39609741],[127.31318495,36.39588581]]]}"
6468075,2018074,30200118,30200003,대전광역시 유성구3,대전광역시 유성구 갑동(한밭대입구삼거리 인근),29,52,0,14,37,1,127.3041276,36.36048518,"{""type"":""Polygon"",""coordinates"":[[[127.30547508,36.36048518],[127.30544919,36.36027348],[127.30537251,36.36006992],[127.30524799,36.35988232],[127.30508041,36.35971788],[127.30487622,36.35958293],[127.30464326,36.35948265],[127.30439048,36.3594209],[127.30412761,36.35940005],[127.30386473,36.3594209],[127.30361195,36.35948265],[127.30337899,36.35958293],[127.3031748,36.35971788],[127.30300722,36.35988232],[127.3028827,36.36006992],[127.30280602,36.36027348],[127.30278013,36.36048518],[127.30280602,36.36069688],[127.3028827,36.36090044],[127.30300722,36.36108804],[127.3031748,36.36125248],[127.30337899,36.36138742],[127.30361195,36.3614877],[127.30386473,36.36154945],[127.30412761,36.3615703],[127.30439048,36.36154945],[127.30464326,36.3614877],[127.30487622,36.36138742],[127.30508041,36.36125248],[127.30524799,36.36108804],[127.30537251,36.36090044],[127.30544919,36.36069688],[127.30547508,36.36048518]]]}"
6468076,2018074,30230101,30230001,대전광역시 대덕구1,대전광역시 대덕구 오정동(타이어뱅크앞 인근),32,52,0,11,38,3,127.4054689,36.35651893,"{""type"":""Polygon"",""coordinates"":[[[127.40681639,36.35651893],[127.4067905,36.35630722],[127.40671382,36.35610365],[127.4065893,36.35591604],[127.40642173,36.35575159],[127.40621753,36.35561663],[127.40598457,36.35551635],[127.4057318,36.3554546],[127.40546892,36.35543375],[127.40520604,36.3554546],[127.40495326,36.35551635],[127.4047203,36.35561663],[127.40451611,36.35575159],[127.40434854,36.35591604],[127.40422402,36.35610365],[127.40414734,36.35630722],[127.40412145,36.35651893],[127.40414734,36.35673064],[127.40422402,36.35693421],[127.40434854,36.35712182],[127.40451611,36.35728627],[127.4047203,36.35742122],[127.40495326,36.3575215],[127.40520604,36.35758325],[127.40546892,36.3576041],[127.4057318,36.35758325],[127.40598457,36.3575215],[127.40621753,36.35742122],[127.40642173,36.35728627],[127.4065893,36.35712182],[127.40671382,36.35693421],[127.4067905,36.35673064],[127.40681639,36.35651893]]]}"
6468077,2018074,30230110,30230002,대전광역시 대덕구2,대전광역시 대덕구 비래동(산림조합중앙회앞 인근),31,53,0,6,41,6,127.4449564,36.35616943,"{""type"":""Polygon"",""coordinates"":[[[127.44630383,36.35616943],[127.44627794,36.35595772],[127.44620126,36.35575415],[127.44607674,36.35556653],[127.44590916,36.35540209],[127.44570497,36.35526713],[127.44547201,36.35516685],[127.44521924,36.35510509],[127.44495636,36.35508424],[127.44469348,36.35510509],[127.4444407,36.35516685],[127.44420774,36.35526713],[127.44400355,36.35540209],[127.44383597,36.35556653],[127.44371145,36.35575415],[127.44363477,36.35595772],[127.44360888,36.35616943],[127.44363477,36.35638114],[127.44371145,36.35658471],[127.44383597,36.35677233],[127.44400355,36.35693677],[127.44420774,36.35707172],[127.4444407,36.35717201],[127.44469348,36.35723376],[127.44495636,36.35725461],[127.44521924,36.35723376],[127.44547201,36.35717201],[127.44570497,36.35707172],[127.44590916,36.35693677],[127.44607674,36.35677233],[127.44620126,36.35658471],[127.44627794,36.35638114],[127.44630383,36.35616943]]]}"
6468078,2018074,30230111,30230003,대전광역시 대덕구3,대전광역시 대덕구 석봉동(오정사거리 인근),30,46,0,11,29,6,127.4155467,36.35858503,"{""type"":""Polygon"",""coordinates"":[[[127.41689417,36.35858503],[127.41686828,36.35837332],[127.4167916,36.35816976],[127.41666708,36.35798215],[127.41649951,36.3578177],[127.41629532,36.35768275],[127.41606236,36.35758247],[127.41580958,36.35752072],[127.4155467,36.35749987],[127.41528382,36.35752072],[127.41503104,36.35758247],[127.41479808,36.35768275],[127.41459389,36.3578177],[127.41442632,36.35798215],[127.4143018,36.35816976],[127.41422512,36.35837332],[127.41419923,36.35858503],[127.41422512,36.35879673],[127.4143018,36.35900029],[127.41442632,36.3591879],[127.41459389,36.35935234],[127.41479808,36.35948729],[127.41503104,36.35958757],[127.41528382,36.35964932],[127.4155467,36.35967017],[127.41580958,36.35964932],[127.41606236,36.35958757],[127.41629532,36.35948729],[127.41649951,36.35935234],[127.41666708,36.3591879],[127.4167916,36.35900029],[127.41686828,36.35879673],[127.41689417,36.35858503]]]}"
6467719,2018074,44130104,44130001,충청남도 천안시1,충청남도 천안시 서북구 두정동(아이빌딩 인근),38,47,0,8,35,4,127.1356936,36.83290979,"{""type"":""Polygon"",""coordinates"":[[[127.13704112,36.83290979],[127.13701523,36.83269938],[127.13693855,36.83249706],[127.13681403,36.8323106],[127.13664646,36.83214717],[127.13644226,36.83201304],[127.1362093,36.83191338],[127.13595653,36.83185201],[127.13569365,36.83183128],[127.13543077,36.83185201],[127.13517799,36.83191338],[127.13494503,36.83201304],[127.13474084,36.83214717],[127.13457327,36.8323106],[127.13444875,36.83249706],[127.13437207,36.83269938],[127.13434618,36.83290979],[127.13437207,36.83312019],[127.13444875,36.83332251],[127.13457327,36.83350897],[127.13474084,36.8336724],[127.13494503,36.83380652],[127.13517799,36.83390619],[127.13543077,36.83396756],[127.13569365,36.83398828],[127.13595653,36.83396756],[127.1362093,36.83390619],[127.13644226,36.83380652],[127.13664646,36.8336724],[127.13681403,36.83350897],[127.13693855,36.83332251],[127.13701523,36.83312019],[127.13704112,36.83290979]]]}"
6467720,2018074,44130102,44130002,충청남도 천안시2,충청남도 천안시 서북구 성정동(태광렌트카 인근),33,40,0,9,29,2,127.1365435,36.81906557,"{""type"":""Polygon"",""coordinates"":[[[127.137891,36.81906557],[127.13786511,36.81885513],[127.13778843,36.81865277],[127.13766391,36.81846628],[127.13749633,36.81830281],[127.13729214,36.81816866],[127.13705918,36.81806898],[127.13680641,36.81800759],[127.13654353,36.81798687],[127.13628065,36.81800759],[127.13602787,36.81806898],[127.13579491,36.81816866],[127.13559072,36.81830281],[127.13542314,36.81846628],[127.13529862,36.81865277],[127.13522194,36.81885513],[127.13519605,36.81906557],[127.13522194,36.81927601],[127.13529862,36.81947837],[127.13542314,36.81966486],[127.13559072,36.81982832],[127.13579491,36.81996247],[127.13602787,36.82006215],[127.13628065,36.82012353],[127.13654353,36.82014426],[127.13680641,36.82012353],[127.13705918,36.82006215],[127.13729214,36.81996247],[127.13749633,36.81982832],[127.13766391,36.81966486],[127.13778843,36.81947837],[127.13786511,36.81927601],[127.137891,36.81906557]]]}"
6467721,2018074,44130107,44130003,충청남도 천안시3,충청남도 천안시 서북구 쌍용동(일봉설비 인근),30,47,0,7,39,1,127.1310947,36.79907397,"{""type"":""Polygon"",""coordinates"":[[[127.13244215,36.79907397],[127.13241626,36.79886348],[127.13233958,36.79866107],[127.13221506,36.79847452],[127.13204748,36.79831102],[127.13184329,36.79817683],[127.13161033,36.79807712],[127.13135756,36.79801572],[127.13109468,36.79799499],[127.1308318,36.79801572],[127.13057902,36.79807712],[127.13034606,36.79817683],[127.13014187,36.79831102],[127.12997429,36.79847452],[127.12984977,36.79866107],[127.1297731,36.79886348],[127.1297472,36.79907397],[127.1297731,36.79928447],[127.12984977,36.79948688],[127.12997429,36.79967342],[127.13014187,36.79983692],[127.13034606,36.79997111],[127.13057902,36.80007081],[127.1308318,36.80013221],[127.13109468,36.80015294],[127.13135756,36.80013221],[127.13161033,36.80007081],[127.13184329,36.79997111],[127.13204748,36.79983692],[127.13221506,36.79967342],[127.13233958,36.79948688],[127.13241626,36.79928447],[127.13244215,36.79907397]]]}"
6467728,2018074,44150120,44150001,충청남도 공주시1,충청남도 공주시 신관동(전막사거리 인근),9,19,1,5,11,2,127.1275046,36.47043681,"{""type"":""Polygon"",""coordinates"":[[[127.12885211,36.47043681],[127.12882622,36.47022541],[127.12874954,36.47002213],[127.12862502,36.46983479],[127.12845744,36.46967059],[127.12825325,36.46953583],[127.12802029,36.46943569],[127.12776752,36.46937403],[127.12750464,36.46935321],[127.12724176,36.46937403],[127.12698898,36.46943569],[127.12675602,36.46953583],[127.12655183,36.46967059],[127.12638425,36.46983479],[127.12625973,36.47002213],[127.12618306,36.47022541],[127.12615716,36.47043681],[127.12618306,36.4706482],[127.12625973,36.47085148],[127.12638425,36.47103881],[127.12655183,36.47120302],[127.12675602,36.47133777],[127.12698898,36.47143791],[127.12724176,36.47149957],[127.12750464,36.47152039],[127.12776752,36.47149957],[127.12802029,36.47143791],[127.12825325,36.47133777],[127.12845744,36.47120302],[127.12862502,36.47103881],[127.12874954,36.47085148],[127.12882622,36.4706482],[127.12885211,36.47043681]]]}"
6467729,2018074,44150380,44150002,충청남도 공주시2,충청남도 공주시 우성면(방흥리1211 인근),9,33,1,15,17,0,127.0472881,36.46222303,"{""type"":""Polygon"",""coordinates"":[[[127.04863554,36.46222303],[127.04860965,36.46201161],[127.04853297,36.46180831],[127.04840845,36.46162095],[127.04824088,36.46145673],[127.04803668,36.46132196],[127.04780372,36.46122181],[127.04755095,36.46116014],[127.04728807,36.46113932],[127.04702519,36.46116014],[127.04677241,36.46122181],[127.04653945,36.46132196],[127.04633526,36.46145673],[127.04616769,36.46162095],[127.04604317,36.46180831],[127.04596649,36.46201161],[127.0459406,36.46222303],[127.04596649,36.46243445],[127.04604317,36.46263774],[127.04616769,36.4628251],[127.04633526,36.46298932],[127.04653945,36.46312409],[127.04677241,36.46322423],[127.04702519,36.4632859],[127.04728807,36.46330672],[127.04755095,36.4632859],[127.04780372,36.46322423],[127.04803668,36.46312409],[127.04824088,36.46298932],[127.04840845,36.4628251],[127.04853297,36.46263774],[127.04860965,36.46243445],[127.04863554,36.46222303]]]}"
