사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021101800100140,2021년 10월 18일 08시,월요일,세종특별자치시 대평동,중상사고,0,1,0,0,차대차 - 기타,신호위반,포장 - 건조,맑음,단일로 - 터널,승용,남,66세,상해없음,승용,여,37세,중상
2021101800100435,2021년 10월 18일 16시,월요일,세종특별자치시 종촌동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,개인형이동수단(PM),여,16세,부상신고,승용,여,35세,상해없음
2021101800100599,2021년 10월 18일 19시,월요일,세종특별자치시 반곡동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,70세,상해없음,보행자,남,67세,중상
2021101800100600,2021년 10월 18일 19시,월요일,세종특별자치시 새롬동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,승합,여,43세,상해없음,자전거,여,62세,경상
2021102000100122,2021년 10월 20일 09시,수요일,세종특별자치시 소담동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,36세,상해없음,보행자,남,78세,중상
2021102000100186,2021년 10월 20일 11시,수요일,세종특별자치시 해밀동,중상사고,0,1,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,화물,남,56세,상해없음,승합,남,54세,중상
2021102000100232,2021년 10월 20일 12시,수요일,세종특별자치시 연서면,사망사고,1,0,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,71세,사망,화물,남,55세,상해없음
2021102100100102,2021년 10월 21일 08시,목요일,세종특별자치시 고운동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,53세,상해없음,보행자,여,82세,중상
2021102100100155,2021년 10월 21일 10시,목요일,세종특별자치시 보람동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,68세,상해없음,보행자,남,12세,경상
2021102100100257,2021년 10월 21일 13시,목요일,세종특별자치시 나성동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,25세,상해없음,승용,여,44세,경상
2021102100100328,2021년 10월 21일 15시,목요일,세종특별자치시 전의면,경상사고,0,0,1,0,차대차 - 추돌,차로위반,포장 - 건조,맑음,단일로 - 교량,건설기계,남,61세,상해없음,승용,남,28세,경상
2021102100100480,2021년 10월 21일 18시,목요일,세종특별자치시 아름동,부상신고사고,0,0,0,1,차대사람 - 차도통행중,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,25세,상해없음,보행자,남,5세,부상신고
2021102100100481,2021년 10월 21일 18시,목요일,세종특별자치시 어진동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,48세,상해없음,개인형이동수단(PM),남,26세,경상
2021102300100570,2021년 10월 23일 21시,토요일,세종특별자치시 대평동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,38세,상해없음,승용,여,27세,경상
2021102400100115,2021년 10월 24일 10시,일요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,42세,상해없음,승합,남,28세,경상
2021102400100355,2021년 10월 24일 17시,일요일,세종특별자치시 종촌동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,흐림,교차로 - 교차로안,승용,여,43세,상해없음,보행자,여,10세,경상
2021102400100430,2021년 10월 24일 19시,일요일,세종특별자치시 어진동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,승용,남,60세,경상
2021102500100420,2021년 10월 25일 16시,월요일,세종특별자치시 고운동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,46세,상해없음,승합,남,54세,경상
2021102500100521,2021년 10월 25일 18시,월요일,세종특별자치시 어진동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승합,남,74세,상해없음,보행자,여,39세,중상
2021102600100428,2021년 10월 26일 17시,화요일,세종특별자치시 금남면,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,화물,남,47세,상해없음,승합,남,30세,경상
2021102600100486,2021년 10월 26일 18시,화요일,세종특별자치시 조치원읍,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,이륜,남,73세,상해없음,이륜,남,33세,중상
2021102600100487,2021년 10월 26일 18시,화요일,세종특별자치시 아름동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,기타,교차로 - 교차로안,승용,여,39세,상해없음,개인형이동수단(PM),남,80세,중상
2021102600100488,2021년 10월 26일 18시,화요일,세종특별자치시 종촌동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,기타,교차로 - 교차로안,승용,여,26세,상해없음,승용,남,23세,경상
2021102700100041,2021년 10월 27일 06시,수요일,세종특별자치시 조치원읍,사망사고,1,0,0,0,차대사람 - 횡단중,기타,포장 - 젖음/습기,안개,교차로 - 교차로부근,승용,남,42세,기타불명,보행자,여,81세,사망
2021102700100101,2021년 10월 27일 08시,수요일,세종특별자치시 나성동,부상신고사고,0,0,0,1,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,47세,상해없음,보행자,남,15세,부상신고
2021102700100369,2021년 10월 27일 16시,수요일,세종특별자치시 종촌동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,19세,상해없음,이륜,남,40세,중상
2021102700100476,2021년 10월 27일 18시,수요일,세종특별자치시 나성동,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,승용,여,56세,상해없음,승용,여,32세,경상
2021102800100427,2021년 10월 28일 16시,목요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,73세,상해없음,보행자,남,85세,경상
2021102800100428,2021년 10월 28일 16시,목요일,세종특별자치시 연동면,경상사고,0,0,4,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,56세,기타불명,화물,남,25세,경상
